CELL_ID,highway_rank,max_lanes,mean_gvi,total_road_length_m,n_road_segments
다사70255100,0,0.0,0.0,0.0,0
다사70255125,2,2.0,-0.17992288392495356,2205.3941260362235,2
다사70255150,0,0.0,0.0,0.0,0
다사70255175,0,0.0,0.0,0.0,0
다사69255075,0,0.0,0.0,0.0,0
다사69255100,0,0.0,0.0,0.0,0
다사69255125,2,2.0,0.12142628573400414,2534.0655847740245,2
다사69255150,0,0.0,0.0,0.0,0
다사69254975,0,0.0,0.0,0.0,0
다사69255000,0,0.0,0.0,0.0,0
다사69255025,0,0.0,0.0,0.0,0
다사69255050,2,2.0,1.2389617524959229,2162.7296499559634,2
다사69504300,0,0.0,0.0,0.0,0
다사69504325,2,4.0,-0.4160329257032285,31.88237589707175,2
다사69504350,2,4.0,-0.2676704969966962,1733.208890726079,2
다사69504375,0,0.0,0.0,0.0,0
다사69255175,4,4.0,0.307323781199866,295.7251592155185,2
다사69255200,0,0.0,0.0,0.0,0
다사69255225,0,0.0,0.0,0.0,0
다사69255250,0,0.0,0.0,0.0,0
다사69254425,0,0.0,0.0,0.0,0
다사69254450,2,4.0,-0.19318462842170123,505.7250022753774,1
다사69254475,0,0.0,0.0,0.0,0
다사69254750,0,0.0,0.0,0.0,0
다사69254325,0,0.0,0.0,0.0,0
다사69254350,2,4.0,-0.43591626563936603,2239.470870085149,2
다사69254375,0,0.0,0.0,0.0,0
다사69254400,0,0.0,0.0,0.0,0
다사69254875,2,2.0,0.47636393066820143,432.0573886702041,7
다사69254900,0,0.0,0.0,0.0,0
다사69254925,0,0.0,0.0,0.0,0
다사69254950,0,0.0,0.0,0.0,0
